Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Benin,BEN,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,2704.7054840378,2707.86970043194,2759.84825577488,2876.90390883027,2975.85478222107,2945.97022066349,2961.4404159762,3044.51715620319,3160.7806702321,3287.30953781986
Benin,BEN,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,24881272742.8566,25618692190.0679,26851264681.8907,28782255584.8599,30612139032.0882,31156469106.8687,32196993426.2032,34023063767.8647,36301676624.9392,38794036239.5523
Benin,BEN,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,0.222063641728663,0.20340798474014,0.182652161144933,0.175220866221093,0.178063774734138,0.180472342378201,0.206315028056361,0.201921847263147,0.199629113580747,0.180553088908347
Benin,BEN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.525042565810885,0.4915002792427,0.456355652470422,0.467785082367023,0.504528170142496,0.520992816434272,0.619937006590663,0.614754528204892,0.64605811617413,0.618583745834187
Benin,BEN,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,32.3929691623113,32.5808462339065,31.9920004396705,31.4432986543429,29.6604556737574,40.4706826318169,38.4477036582204,38.9999587632257,..,..
Benin,BEN,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-1 value (% of total)",EN.ATM.PM25.MC.T1.ZS,34.4369028675816,35.1983084859327,37.0750035002077,33.7469602416285,33.4417386620577,48.4068801790228,45.1191538291513,45.2199992457883,..,..
Benin,BEN,Forest area (% of land area),AG.LND.FRST.ZS,32.2379389854558,31.7945193330968,31.3510996807378,30.9076800283789,30.4642603760199,30.0208407236609,29.5774210713019,29.1340014189429,28.6905817665839,28.2471621142249
Benin,BEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,43.093,43.608,44.125,44.642,45.166,45.695,46.229,46.768,47.312,47.861
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Data from database: Sustainable Development Goals (SDGs),,,,,,,,,,,,,
Last Updated: 07/22/2022,,,,,,,,,,,,,
